num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
127,32,1,12,1,2,1,1,1,12,3,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,3,1,U,1,4,2,9
128,35,1,3,2,2,1,1,1,10,3,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,4,1,U,1,4,1,9
129,58,1,10,1,2,2,1,1,12,3,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,3,1,U,1,4,1,9
130,35,1,12,2,2,2,1,1,12,3,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,4,1,U,1,4,1,9
131,31,1,8,2,2,1,1,1,12,3,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,5,1,U,1,4,2,9
132,60,2,0,0,0,0,0,1,2,3,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,0,2,U,1,4,2,9
133,51,1,1,2,2,2,1,1,1,3,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,U,1,4,2,9
134,57,1,8,2,2,2,1,1,4,3,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,0,1,U,1,4,1,9
135,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,4,2,9
136,47,1,12,2,2,1,1,1,12,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,4,1,9
